内容▲,书籍 (作者),类型,位置,日期,
prattling,A Clash of Kings (George R. R. Martin),标注,10663,2019/1/1 12:32,
"hawks,",A Clash of Kings (George R. R. Martin),标注,10667,2019/1/1 12:32,
dodged,A Clash of Kings (George R. R. Martin),标注,10670,2019/1/1 12:33,
"trifle,",A Clash of Kings (George R. R. Martin),标注,10672,2019/1/1 12:34,
blotted,A Clash of Kings (George R. R. Martin),标注,10677,2019/1/1 12:35,
crescent,A Clash of Kings (George R. R. Martin),标注,10677,2019/1/1 12:35,
hoardings,A Clash of Kings (George R. R. Martin),标注,10680,2019/1/1 12:42,
sprouted,A Clash of Kings (George R. R. Martin),标注,10680,2019/1/1 12:42,
"catapults,",A Clash of Kings (George R. R. Martin),标注,10681,2019/1/1 12:43,
stab,A Clash of Kings (George R. R. Martin),标注,10682,2019/1/1 12:44,
merlon,A Clash of Kings (George R. R. Martin),标注,10683,2019/1/1 12:44,
garlicky,A Clash of Kings (George R. R. Martin),标注,10693,2019/1/1 12:49,
"courteous,",A Clash of Kings (George R. R. Martin),标注,10696,2019/1/1 12:49,
piety.,A Clash of Kings (George R. R. Martin),标注,10701,2019/1/1 12:50,
“Wrinkle,A Clash of Kings (George R. R. Martin),标注,10701,2019/1/1 12:51,
hugged,A Clash of Kings (George R. R. Martin),标注,10706,2019/1/1 12:52,
bladders,A Clash of Kings (George R. R. Martin),标注,10710,2019/1/1 12:53,
"bladders with their honors, yes, and women and children",A Clash of Kings (George R. R. Martin),标注,10711,2019/1/1 12:53,
peeping,A Clash of Kings (George R. R. Martin),标注,10726,2019/1/1 12:55,
ferocity.,A Clash of Kings (George R. R. Martin),标注,10727,2019/1/1 12:56,
surged,A Clash of Kings (George R. R. Martin),标注,10728,2019/1/1 12:56,
swarmed,A Clash of Kings (George R. R. Martin),标注,10733,2019/1/1 12:58,
slanting,A Clash of Kings (George R. R. Martin),标注,10735,2019/1/1 12:59,
sticky,A Clash of Kings (George R. R. Martin),标注,10736,2019/1/1 13:00,
squirmed,A Clash of Kings (George R. R. Martin),标注,10737,2019/1/1 12:59,
crouched,A Clash of Kings (George R. R. Martin),标注,10738,2019/1/1 13:00,
"bedpost,",A Clash of Kings (George R. R. Martin),标注,10740,2019/1/1 13:00,
scrubbing,A Clash of Kings (George R. R. Martin),标注,10741,2019/1/1 13:00,
hacked,A Clash of Kings (George R. R. Martin),标注,10744,2019/1/1 13:01,
drenched,A Clash of Kings (George R. R. Martin),标注,10746,2019/1/1 13:05,
"cumbersome,",A Clash of Kings (George R. R. Martin),标注,10747,2019/1/1 13:05,
unfurling,A Clash of Kings (George R. R. Martin),标注,10751,2019/1/1 13:09,
singed,A Clash of Kings (George R. R. Martin),标注,10752,2019/1/1 13:09,
wry,A Clash of Kings (George R. R. Martin),标注,10767,2019/1/1 13:12,
entices,A Clash of Kings (George R. R. Martin),标注,10768,2019/1/1 13:12,
pelts,A Clash of Kings (George R. R. Martin),标注,10772,2019/1/1 13:12,
"devotion,",A Clash of Kings (George R. R. Martin),标注,10774,2019/1/1 13:13,
gurgled,A Clash of Kings (George R. R. Martin),标注,10781,2019/1/1 13:14,
struggling,A Clash of Kings (George R. R. Martin),标注,10788,2019/1/1 13:19,
"lichen,",A Clash of Kings (George R. R. Martin),标注,10789,2019/1/1 13:19,
wending,A Clash of Kings (George R. R. Martin),标注,10790,2019/1/1 13:21,
constricted,A Clash of Kings (George R. R. Martin),标注,10790,2019/1/1 13:21,
"they were starving, but he loosened Longclaw in its scabbard",A Clash of Kings (George R. R. Martin),标注,10793,2019/1/1 13:21,
scabbard,A Clash of Kings (George R. R. Martin),标注,10793,2019/1/1 13:22,
broadened,A Clash of Kings (George R. R. Martin),标注,10794,2019/1/1 13:23,
decreed,A Clash of Kings (George R. R. Martin),标注,10795,2019/1/1 13:24,
honing,A Clash of Kings (George R. R. Martin),标注,10799,2019/1/1 13:30,
raiders,A Clash of Kings (George R. R. Martin),标注,10810,2019/1/1 13:36,
headsman.,A Clash of Kings (George R. R. Martin),标注,10816,2019/1/1 13:37,
scabbard.,A Clash of Kings (George R. R. Martin),标注,10824,2019/1/1 20:28,
darkening,A Clash of Kings (George R. R. Martin),标注,10837,2019/1/2 9:11,
pricked,A Clash of Kings (George R. R. Martin),标注,10837,2019/1/2 9:12,
fissures,A Clash of Kings (George R. R. Martin),标注,10841,2019/1/2 9:13,
myriad,A Clash of Kings (George R. R. Martin),标注,10841,2019/1/2 9:13,
hairline,A Clash of Kings (George R. R. Martin),标注,10841,2019/1/2 9:13,
cringed,A Clash of Kings (George R. R. Martin),标注,10846,2019/1/2 9:21,
"bristling,",A Clash of Kings (George R. R. Martin),标注,10846,2019/1/2 9:21,
cringed,A Clash of Kings (George R. R. Martin),标注,10846,2019/1/2 9:21,
"bristling,",A Clash of Kings (George R. R. Martin),标注,10846,2019/1/2 9:21,
"cringed back, his hair bristling, and bared his fangs.",A Clash of Kings (George R. R. Martin),标注,10847,2019/1/2 9:21,
"vale,",A Clash of Kings (George R. R. Martin),标注,10851,2019/1/2 9:22,
cobalt,A Clash of Kings (George R. R. Martin),标注,10853,2019/1/2 9:29,
snowcapped,A Clash of Kings (George R. R. Martin),标注,10853,2019/1/2 9:29,
"ditches,",A Clash of Kings (George R. R. Martin),标注,10856,2019/1/2 9:30,
crude,A Clash of Kings (George R. R. Martin),标注,10856,2019/1/2 9:31,
"haphazardly,",A Clash of Kings (George R. R. Martin),标注,10857,2019/1/2 9:31,
profusion.,A Clash of Kings (George R. R. Martin),标注,10858,2019/1/2 9:31,
Tendrils,A Clash of Kings (George R. R. Martin),标注,10858,2019/1/2 9:31,
mounds,A Clash of Kings (George R. R. Martin),标注,10859,2019/1/2 9:32,
lumbering,A Clash of Kings (George R. R. Martin),标注,10860,2019/1/2 9:32,
tusks,A Clash of Kings (George R. R. Martin),标注,10860,2019/1/2 9:32,
plummeted,A Clash of Kings (George R. R. Martin),标注,10863,2019/1/2 9:33,
pinions,A Clash of Kings (George R. R. Martin),标注,10863,2019/1/2 9:33,
"talons,",A Clash of Kings (George R. R. Martin),标注,10864,2019/1/2 9:33,
bleak,A Clash of Kings (George R. R. Martin),标注,10878,2019/1/2 9:36,
precipice?,A Clash of Kings (George R. R. Martin),标注,10886,2019/1/2 12:09,
boulders.,A Clash of Kings (George R. R. Martin),标注,10897,2019/1/2 12:15,
saddle.,A Clash of Kings (George R. R. Martin),标注,10907,2019/1/2 12:17,
garron,A Clash of Kings (George R. R. Martin),标注,10916,2019/1/2 12:21,
beastie.”,A Clash of Kings (George R. R. Martin),标注,10917,2019/1/2 12:22,
speck,A Clash of Kings (George R. R. Martin),标注,10920,2019/1/2 12:22,
ordeal,A Clash of Kings (George R. R. Martin),标注,10924,2019/1/2 12:23,
squint,A Clash of Kings (George R. R. Martin),标注,10929,2019/1/2 12:24,
tumbled,A Clash of Kings (George R. R. Martin),标注,10934,2019/1/2 12:25,
studded,A Clash of Kings (George R. R. Martin),标注,10935,2019/1/2 12:25,
plagued,A Clash of Kings (George R. R. Martin),标注,10961,2019/1/2 14:19,
wretches?”,A Clash of Kings (George R. R. Martin),标注,10962,2019/1/2 14:19,
"sorties,",A Clash of Kings (George R. R. Martin),标注,10971,2019/1/2 14:21,
toehold,A Clash of Kings (George R. R. Martin),标注,10971,2019/1/2 14:21,
amity,A Clash of Kings (George R. R. Martin),标注,10981,2019/1/2 14:23,
crumbs,A Clash of Kings (George R. R. Martin),标注,10989,2019/1/2 14:24,
flustered.”,A Clash of Kings (George R. R. Martin),标注,10991,2019/1/2 14:25,
droll,A Clash of Kings (George R. R. Martin),标注,10997,2019/1/2 14:26,
prowess,A Clash of Kings (George R. R. Martin),标注,11003,2019/1/2 14:27,
impish,A Clash of Kings (George R. R. Martin),标注,11004,2019/1/2 14:27,
dregs,A Clash of Kings (George R. R. Martin),标注,11011,2019/1/2 14:28,
"wrath,",A Clash of Kings (George R. R. Martin),标注,11012,2019/1/2 14:29,
peas,A Clash of Kings (George R. R. Martin),标注,11016,2019/1/2 14:30,
gagged,A Clash of Kings (George R. R. Martin),标注,11018,2019/1/3 9:03,
smear,A Clash of Kings (George R. R. Martin),标注,11034,2019/1/3 9:06,
"A day will come when you think yourself safe and happy, and suddenly your joy will turn to ashes in your mouth, and you’ll know the debt is paid.”",A Clash of Kings (George R. R. Martin),标注,11038,2019/1/3 9:07,
brushed,A Clash of Kings (George R. R. Martin),标注,11057,2019/1/3 9:22,
sconces,A Clash of Kings (George R. R. Martin),标注,11059,2019/1/3 9:23,
draped,A Clash of Kings (George R. R. Martin),标注,11071,2019/1/3 12:23,
muffled,A Clash of Kings (George R. R. Martin),标注,11074,2019/1/3 12:24,
revelry,A Clash of Kings (George R. R. Martin),标注,11075,2019/1/3 12:24,
casks,A Clash of Kings (George R. R. Martin),标注,11075,2019/1/3 12:24,
imminent,A Clash of Kings (George R. R. Martin),标注,11075,2019/1/3 12:25,
fennel,A Clash of Kings (George R. R. Martin),标注,11079,2019/1/3 12:25,
pease,A Clash of Kings (George R. R. Martin),标注,11079,2019/1/3 12:26,
"methodically,",A Clash of Kings (George R. R. Martin),标注,11080,2019/1/3 12:26,
intolerable,A Clash of Kings (George R. R. Martin),标注,11082,2019/1/3 12:26,
"revels,",A Clash of Kings (George R. R. Martin),标注,11084,2019/1/3 12:27,
sop,A Clash of Kings (George R. R. Martin),标注,11086,2019/1/3 12:27,
blur.,A Clash of Kings (George R. R. Martin),标注,11099,2019/1/3 12:29,
valor.,A Clash of Kings (George R. R. Martin),标注,11107,2019/1/3 12:31,
"trial,",A Clash of Kings (George R. R. Martin),标注,11111,2019/1/3 12:31,
scabs,A Clash of Kings (George R. R. Martin),标注,11112,2019/1/3 12:32,
"foldings,",A Clash of Kings (George R. R. Martin),标注,11118,2019/1/3 12:33,
cudgel,A Clash of Kings (George R. R. Martin),标注,11119,2019/1/3 12:33,
drearnwine,A Clash of Kings (George R. R. Martin),标注,11129,2019/1/3 12:36,
"mattress,",A Clash of Kings (George R. R. Martin),标注,11134,2019/1/3 12:37,
slanted,A Clash of Kings (George R. R. Martin),标注,11147,2019/1/3 12:42,
gaoler,A Clash of Kings (George R. R. Martin),标注,11152,2019/1/3 12:43,
furtive,A Clash of Kings (George R. R. Martin),标注,11152,2019/1/3 12:43,
defy,A Clash of Kings (George R. R. Martin),标注,11157,2019/1/3 12:43,
girdled,A Clash of Kings (George R. R. Martin),标注,11158,2019/1/3 12:44,
pommel,A Clash of Kings (George R. R. Martin),标注,11161,2019/1/3 12:44,
straw,A Clash of Kings (George R. R. Martin),标注,11162,2019/1/3 12:44,
crackled,A Clash of Kings (George R. R. Martin),标注,11163,2019/1/3 12:45,
nitre.,A Clash of Kings (George R. R. Martin),标注,11163,2019/1/3 12:45,
razor,A Clash of Kings (George R. R. Martin),标注,11168,2019/1/3 12:53,
squinted,A Clash of Kings (George R. R. Martin),标注,11173,2019/1/3 12:55,
fettered,A Clash of Kings (George R. R. Martin),标注,11176,2019/1/3 12:55,
bracelets,A Clash of Kings (George R. R. Martin),标注,11177,2019/1/3 12:55,
"cowed,",A Clash of Kings (George R. R. Martin),标注,11180,2019/1/3 12:56,
revulsion.,A Clash of Kings (George R. R. Martin),标注,11184,2019/1/3 12:57,
rust,A Clash of Kings (George R. R. Martin),标注,11197,2019/1/3 13:00,
turnkey,A Clash of Kings (George R. R. Martin),标注,11199,2019/1/3 13:00,
flung,A Clash of Kings (George R. R. Martin),标注,11214,2019/1/3 14:17,
incredulous.,A Clash of Kings (George R. R. Martin),标注,11219,2019/1/3 14:17,
catspaw,A Clash of Kings (George R. R. Martin),标注,11221,2019/1/3 14:18,
pail.,A Clash of Kings (George R. R. Martin),标注,11227,2019/1/3 14:19,
ooze,A Clash of Kings (George R. R. Martin),标注,11228,2019/1/3 14:19,
urchin,A Clash of Kings (George R. R. Martin),标注,11245,2019/1/3 14:21,
niggardly,A Clash of Kings (George R. R. Martin),标注,11248,2019/1/3 14:22,
envoy’s,A Clash of Kings (George R. R. Martin),标注,11255,2019/1/3 14:23,
ransom,A Clash of Kings (George R. R. Martin),标注,11259,2019/1/3 14:24,
"“So many vows… they make you swear and swear. Defend the king. Obey the king. Keep his secrets. Do his bidding. Your life for his. But obey your father. Love your sister. Protect the innocent. Defend the weak. Respect the gods. Obey the laws. It’s too much. No matter what you do, you’re forsaking one vow or the other.”",A Clash of Kings (George R. R. Martin),标注,11266,2019/1/3 14:25,
cord,A Clash of Kings (George R. R. Martin),标注,11275,2019/1/3 14:27,
gallant,A Clash of Kings (George R. R. Martin),标注,11282,2019/1/3 14:28,
rafters,A Clash of Kings (George R. R. Martin),标注,11289,2019/1/3 14:31,
device,A Clash of Kings (George R. R. Martin),标注,11292,2019/1/3 14:32,
cord,A Clash of Kings (George R. R. Martin),标注,11292,2019/1/3 14:33,
fanning,A Clash of Kings (George R. R. Martin),标注,11293,2019/1/3 14:32,
spurs,A Clash of Kings (George R. R. Martin),标注,11297,2019/1/3 14:33,
bile,A Clash of Kings (George R. R. Martin),标注,11300,2019/1/3 14:34,
reviled,A Clash of Kings (George R. R. Martin),标注,11302,2019/1/3 14:35,
"coronation,",A Clash of Kings (George R. R. Martin),标注,11303,2019/1/3 14:35,
scorn,A Clash of Kings (George R. R. Martin),标注,11304,2019/1/3 14:36,
trencher.,A Clash of Kings (George R. R. Martin),标注,11308,2019/1/3 14:37,
icicles,A Clash of Kings (George R. R. Martin),标注,11316,2019/1/4 9:00,
shuddering,A Clash of Kings (George R. R. Martin),标注,11317,2019/1/4 9:01,
curdled,A Clash of Kings (George R. R. Martin),标注,11317,2019/1/4 9:01,
brimstone,A Clash of Kings (George R. R. Martin),标注,11321,2019/1/4 9:01,
…flailing,A Clash of Kings (George R. R. Martin),标注,11323,2019/1/4 9:02,
disheveled,A Clash of Kings (George R. R. Martin),标注,11330,2019/1/4 9:04,
fumbled,A Clash of Kings (George R. R. Martin),标注,11333,2019/1/4 9:04,
buckling,A Clash of Kings (George R. R. Martin),标注,11333,2019/1/4 9:05,
buckling,A Clash of Kings (George R. R. Martin),标注,11333,2019/1/4 9:05,
studded,A Clash of Kings (George R. R. Martin),标注,11334,2019/1/4 9:05,
stretch,A Clash of Kings (George R. R. Martin),标注,11336,2019/1/4 9:06,
clawed,A Clash of Kings (George R. R. Martin),标注,11336,2019/1/4 9:06,
gnawing,A Clash of Kings (George R. R. Martin),标注,11338,2019/1/4 9:06,
receded,A Clash of Kings (George R. R. Martin),标注,11340,2019/1/4 9:07,
satin,A Clash of Kings (George R. R. Martin),标注,11341,2019/1/4 9:07,
nuggets,A Clash of Kings (George R. R. Martin),标注,11345,2019/1/4 18:10,
"lichyard,",A Clash of Kings (George R. R. Martin),标注,11346,2019/1/4 18:11,
Aggar,A Clash of Kings (George R. R. Martin),标注,11350,2019/1/4 18:12,
"byrnie, coif, and helm, and adopted the noisiest dog",A Clash of Kings (George R. R. Martin),标注,11351,2019/1/4 18:14,
"byrnie,",A Clash of Kings (George R. R. Martin),标注,11351,2019/1/4 18:14,
"coif,",A Clash of Kings (George R. R. Martin),标注,11351,2019/1/4 18:14,
"block,",A Clash of Kings (George R. R. Martin),标注,11354,2019/1/4 18:15,
weakling.,A Clash of Kings (George R. R. Martin),标注,11355,2019/1/4 18:15,
shaft,A Clash of Kings (George R. R. Martin),标注,11355,2019/1/4 18:15,
bale.,A Clash of Kings (George R. R. Martin),标注,11362,2019/1/4 18:17,
bugger,A Clash of Kings (George R. R. Martin),标注,11364,2019/1/4 18:18,
capon,A Clash of Kings (George R. R. Martin),标注,11365,2019/1/4 18:18,
sprawled.,A Clash of Kings (George R. R. Martin),标注,11370,2019/1/4 18:19,
“Envy,A Clash of Kings (George R. R. Martin),标注,11372,2019/1/4 18:20,
quaffed,A Clash of Kings (George R. R. Martin),标注,11376,2019/1/4 18:20,
prowling,A Clash of Kings (George R. R. Martin),标注,11390,2019/1/4 18:25,
galled,A Clash of Kings (George R. R. Martin),标注,11391,2019/1/4 18:25,
belatedly.,A Clash of Kings (George R. R. Martin),标注,11392,2019/1/4 18:25,
"blurted,",A Clash of Kings (George R. R. Martin),标注,11393,2019/1/4 18:26,
"fuming,",A Clash of Kings (George R. R. Martin),标注,11421,2019/1/4 20:42,
sloughing,A Clash of Kings (George R. R. Martin),标注,11444,2019/1/4 21:38,
Hares,A Clash of Kings (George R. R. Martin),标注,11447,2019/1/4 21:39,
spattered,A Clash of Kings (George R. R. Martin),标注,11449,2019/1/4 21:40,
gore,A Clash of Kings (George R. R. Martin),标注,11449,2019/1/4 21:40,
rumpled,A Clash of Kings (George R. R. Martin),标注,11454,2019/1/4 21:41,
privy,A Clash of Kings (George R. R. Martin),标注,11456,2019/1/4 21:41,
shaft,A Clash of Kings (George R. R. Martin),标注,11456,2019/1/4 21:41,
brisk,A Clash of Kings (George R. R. Martin),标注,11461,2019/1/5 0:09,
stung,A Clash of Kings (George R. R. Martin),标注,11462,2019/1/5 0:09,
tugged,A Clash of Kings (George R. R. Martin),标注,11466,2019/1/5 0:10,
rams’,A Clash of Kings (George R. R. Martin),标注,11469,2019/1/5 0:10,
horns.,A Clash of Kings (George R. R. Martin),标注,11469,2019/1/5 0:10,
clank,A Clash of Kings (George R. R. Martin),标注,11471,2019/1/5 0:11,
beckoned,A Clash of Kings (George R. R. Martin),标注,11486,2019/1/5 0:34,
pommel,A Clash of Kings (George R. R. Martin),标注,11488,2019/1/5 0:35,
incised,A Clash of Kings (George R. R. Martin),标注,11489,2019/1/5 0:35,
"wrought,",A Clash of Kings (George R. R. Martin),标注,11490,2019/1/5 0:35,
sheathed,A Clash of Kings (George R. R. Martin),标注,11493,2019/1/5 0:36,
prospect,A Clash of Kings (George R. R. Martin),标注,11497,2019/1/5 0:37,
pouty.,A Clash of Kings (George R. R. Martin),标注,11497,2019/1/5 0:37,
spurred,A Clash of Kings (George R. R. Martin),标注,11500,2019/1/5 0:38,
slanted,A Clash of Kings (George R. R. Martin),标注,11505,2019/1/5 0:42,
wizened,A Clash of Kings (George R. R. Martin),标注,11508,2019/1/5 0:43,
linen,A Clash of Kings (George R. R. Martin),标注,11509,2019/1/5 0:43,
"callus,",A Clash of Kings (George R. R. Martin),标注,11510,2019/1/5 0:43,
wrath,A Clash of Kings (George R. R. Martin),标注,11514,2019/1/5 0:44,
"fray,",A Clash of Kings (George R. R. Martin),标注,11514,2019/1/5 0:45,
jammed,A Clash of Kings (George R. R. Martin),标注,11515,2019/1/5 0:45,
grizzled,A Clash of Kings (George R. R. Martin),标注,11517,2019/1/5 0:46,
"knaves,",A Clash of Kings (George R. R. Martin),标注,11518,2019/1/5 0:46,
shoved,A Clash of Kings (George R. R. Martin),标注,11527,2019/1/5 0:48,
creak,A Clash of Kings (George R. R. Martin),标注,11530,2019/1/5 1:03,
"splinterings,",A Clash of Kings (George R. R. Martin),标注,11530,2019/1/5 1:03,
coax,A Clash of Kings (George R. R. Martin),标注,11534,2019/1/5 1:04,
clung,A Clash of Kings (George R. R. Martin),标注,11534,2019/1/5 1:04,
shove,A Clash of Kings (George R. R. Martin),标注,11539,2019/1/5 1:05,
thrice,A Clash of Kings (George R. R. Martin),标注,11540,2019/1/5 1:05,
termed,A Clash of Kings (George R. R. Martin),标注,11544,2019/1/5 1:06,
dressed-up sellswords. Another sat at the foot of the stair—a,A Clash of Kings (George R. R. Martin),标注,11546,2019/1/5 1:06,
stair—a,A Clash of Kings (George R. R. Martin),标注,11546,2019/1/5 1:06,
halberd,A Clash of Kings (George R. R. Martin),标注,11547,2019/1/5 1:06,
draperies.,A Clash of Kings (George R. R. Martin),标注,11551,2019/1/5 1:07,
velvet,A Clash of Kings (George R. R. Martin),标注,11551,2019/1/5 1:08,
trestle,A Clash of Kings (George R. R. Martin),标注,11553,2019/1/5 1:08,
hauberk,A Clash of Kings (George R. R. Martin),标注,11556,2019/1/5 1:09,
"gaunt,",A Clash of Kings (George R. R. Martin),标注,11558,2019/1/5 1:09,
seemed,A Clash of Kings (George R. R. Martin),标注,11558,2019/1/5 1:09,
pox-ravaged,A Clash of Kings (George R. R. Martin),标注,11558,2019/1/5 1:09,
"linen,",A Clash of Kings (George R. R. Martin),标注,11563,2019/1/5 1:14,
lining,A Clash of Kings (George R. R. Martin),标注,11563,2019/1/5 1:15,
satin.,A Clash of Kings (George R. R. Martin),标注,11563,2019/1/5 1:15,
page,A Clash of Kings (George R. R. Martin),标注,11566,2019/1/5 1:16,
apt.,A Clash of Kings (George R. R. Martin),标注,11567,2019/1/5 1:16,
blurted,A Clash of Kings (George R. R. Martin),标注,11568,2019/1/5 1:16,
dearth,A Clash of Kings (George R. R. Martin),标注,11576,2019/1/5 1:18,
broth,A Clash of Kings (George R. R. Martin),标注,11578,2019/1/5 1:18,
"choppy,",A Clash of Kings (George R. R. Martin),标注,11581,2019/1/5 1:19,
Wraith,A Clash of Kings (George R. R. Martin),标注,11582,2019/1/5 1:19,
hulls.,A Clash of Kings (George R. R. Martin),标注,11582,2019/1/5 1:20,
yards,A Clash of Kings (George R. R. Martin),标注,11582,2019/1/5 1:20,
mast.,A Clash of Kings (George R. R. Martin),标注,11584,2019/1/5 1:20,
churned,A Clash of Kings (George R. R. Martin),标注,11585,2019/1/5 1:20,
decreed,A Clash of Kings (George R. R. Martin),标注,11586,2019/1/5 1:21,
shimmering,A Clash of Kings (George R. R. Martin),标注,11587,2019/1/5 1:21,
blazoned,A Clash of Kings (George R. R. Martin),标注,11588,2019/1/5 1:21,
assault,A Clash of Kings (George R. R. Martin),标注,11588,2019/1/5 1:22,
"assault on Dragonstone sixteen years before, but",A Clash of Kings (George R. R. Martin),标注,11589,2019/1/5 1:21,
topside,A Clash of Kings (George R. R. Martin),标注,11591,2019/1/5 1:23,
fore,A Clash of Kings (George R. R. Martin),标注,11591,2019/1/5 1:23,
"aft,",A Clash of Kings (George R. R. Martin),标注,11591,2019/1/5 1:23,
fling,A Clash of Kings (George R. R. Martin),标注,11592,2019/1/5 1:23,
pitch.,A Clash of Kings (George R. R. Martin),标注,11592,2019/1/5 1:23,
formidable,A Clash of Kings (George R. R. Martin),标注,11592,2019/1/5 1:24,
stern,A Clash of Kings (George R. R. Martin),标注,11592,2019/1/5 1:24,
drifting,A Clash of Kings (George R. R. Martin),标注,11593,2019/1/5 1:24,
tingle,A Clash of Kings (George R. R. Martin),标注,11594,2019/1/5 1:24,
dipped,A Clash of Kings (George R. R. Martin),标注,11594,2019/1/5 1:24,
boom.,A Clash of Kings (George R. R. Martin),标注,11595,2019/1/5 1:25,
sprouted,A Clash of Kings (George R. R. Martin),标注,11596,2019/1/5 1:25,
galleys,A Clash of Kings (George R. R. Martin),标注,11596,2019/1/5 1:25,
"cruise,”",A Clash of Kings (George R. R. Martin),标注,11597,2019/1/5 1:25,
astern.,A Clash of Kings (George R. R. Martin),标注,11599,2019/1/5 1:26,
lagging,A Clash of Kings (George R. R. Martin),标注,11599,2019/1/5 1:26,
ram,A Clash of Kings (George R. R. Martin),标注,11600,2019/1/5 1:27,
ballast,A Clash of Kings (George R. R. Martin),标注,11601,2019/1/5 1:27,
anchored,A Clash of Kings (George R. R. Martin),标注,11603,2019/1/5 1:27,
assigned,A Clash of Kings (George R. R. Martin),标注,11604,2019/1/5 9:43,
"peril,”",A Clash of Kings (George R. R. Martin),标注,11605,2019/1/5 9:44,
valor.,A Clash of Kings (George R. R. Martin),标注,11605,2019/1/5 9:44,
dubbed,A Clash of Kings (George R. R. Martin),标注,11616,2019/1/5 9:49,
mirth,A Clash of Kings (George R. R. Martin),标注,11616,2019/1/5 9:49,
cogs,A Clash of Kings (George R. R. Martin),标注,11620,2019/1/5 9:52,
galleys,A Clash of Kings (George R. R. Martin),标注,11621,2019/1/5 9:53,
Straits,A Clash of Kings (George R. R. Martin),标注,11621,2019/1/5 9:53,
"Gullet,",A Clash of Kings (George R. R. Martin),标注,11622,2019/1/5 9:53,
sheltering,A Clash of Kings (George R. R. Martin),标注,11622,2019/1/5 9:53,
spine,A Clash of Kings (George R. R. Martin),标注,11622,2019/1/5 9:53,
legacy,A Clash of Kings (George R. R. Martin),标注,11625,2019/1/5 9:54,
destriers,A Clash of Kings (George R. R. Martin),标注,11626,2019/1/5 9:54,
seething,A Clash of Kings (George R. R. Martin),标注,11627,2019/1/5 9:55,
Merling,A Clash of Kings (George R. R. Martin),标注,11628,2019/1/5 9:55,
skiffs.,A Clash of Kings (George R. R. Martin),标注,11628,2019/1/5 9:55,
stock.,A Clash of Kings (George R. R. Martin),标注,11633,2019/1/5 9:56,
trill,A Clash of Kings (George R. R. Martin),标注,11633,2019/1/5 9:56,
gust,A Clash of Kings (George R. R. Martin),标注,11634,2019/1/5 9:57,
tugged,A Clash of Kings (George R. R. Martin),标注,11634,2019/1/5 9:57,
glittered,A Clash of Kings (George R. R. Martin),标注,11636,2019/1/5 9:58,
archers.,A Clash of Kings (George R. R. Martin),标注,11639,2019/1/5 10:01,
lumbering,A Clash of Kings (George R. R. Martin),标注,11639,2019/1/5 10:01,
envelop,A Clash of Kings (George R. R. Martin),标注,11644,2019/1/5 10:02,
"flanks,",A Clash of Kings (George R. R. Martin),标注,11644,2019/1/5 10:03,
"flanks, driving them inward to destruction. On the river,",A Clash of Kings (George R. R. Martin),标注,11644,2019/1/5 10:05,
"flanks,",A Clash of Kings (George R. R. Martin),标注,11644,2019/1/5 10:05,
"lemon sky,",A Clash of Kings (George R. R. Martin),标注,11646,2019/1/5 10:06,
Stannis would have kept them busy building rafts,A Clash of Kings (George R. R. Martin),标注,11648,2019/1/5 10:06,
rafts,A Clash of Kings (George R. R. Martin),标注,11648,2019/1/5 10:06,
fletching,A Clash of Kings (George R. R. Martin),标注,11648,2019/1/5 10:06,
stubby,A Clash of Kings (George R. R. Martin),标注,11649,2019/1/5 10:07,
pouch,A Clash of Kings (George R. R. Martin),标注,11649,2019/1/5 10:07,
starboard,A Clash of Kings (George R. R. Martin),标注,11651,2019/1/5 10:07,
"contingent,",A Clash of Kings (George R. R. Martin),标注,11655,2019/1/5 10:09,
flamboyant,A Clash of Kings (George R. R. Martin),标注,11656,2019/1/5 10:10,
jested,A Clash of Kings (George R. R. Martin),标注,11666,2019/1/5 10:12,
garrison.,A Clash of Kings (George R. R. Martin),标注,11669,2019/1/5 10:17,
bluff,A Clash of Kings (George R. R. Martin),标注,11670,2019/1/5 10:17,
assault;,A Clash of Kings (George R. R. Martin),标注,11671,2019/1/5 10:18,
wade,A Clash of Kings (George R. R. Martin),标注,11671,2019/1/5 10:18,
hulls.,A Clash of Kings (George R. R. Martin),标注,11677,2019/1/5 10:19,
"Black Betha surged forward. When he glanced toward Wraith,",A Clash of Kings (George R. R. Martin),标注,11681,2019/1/5 10:20,
surged,A Clash of Kings (George R. R. Martin),标注,11681,2019/1/5 10:21,
wallowing,A Clash of Kings (George R. R. Martin),标注,11682,2019/1/5 10:21,
ferocious,A Clash of Kings (George R. R. Martin),标注,11685,2019/1/5 10:22,
hunched,A Clash of Kings (George R. R. Martin),标注,11685,2019/1/5 10:22,
craning,A Clash of Kings (George R. R. Martin),标注,11688,2019/1/5 10:25,
ponderous,A Clash of Kings (George R. R. Martin),标注,11688,2019/1/5 10:25,
trailing,A Clash of Kings (George R. R. Martin),标注,11696,2019/1/5 10:27,
"Dragonsbane,",A Clash of Kings (George R. R. Martin),标注,11698,2019/1/5 10:28,
tumbled,A Clash of Kings (George R. R. Martin),标注,11699,2019/1/5 10:30,
"gunwale,",A Clash of Kings (George R. R. Martin),标注,11699,2019/1/5 10:30,
pitch,A Clash of Kings (George R. R. Martin),标注,11702,2019/1/5 10:29,
visorless;,A Clash of Kings (George R. R. Martin),标注,11711,2019/1/5 17:26,
